"Status","Name","DisplayName"
"Stopped","AeLookupSvc","Application Experience"
"Stopped","ALG","Application Layer Gateway Service"
"Stopped","AppIDSvc","Application Identity"
"Running","Appinfo","Application Information"
"Stopped","AppMgmt","Application Management"
"Stopped","aspnet_state","ASP.NET State Service"
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder"
"Running","Audiosrv","Windows Audio"
"Running","avg8emc","AVG8 E-mail Scanner"
"Running","avg8wd","AVG8 WatchDog"
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)"
"Stopped","BDESVC","BitLocker Drive Encryption Service"
"Running","BFE","Base Filtering Engine"
"Running","BITS","Background Intelligent Transfer Service"
"Running","Browser","Computer Browser"
"Stopped","bthserv","Bluetooth Support Service"
"Stopped","CertPropSvc","Certificate Propagation"
"Stopped","clr_optimization_v2.0.50727_32","Microsoft .NET Framework NGEN v2.0.50727_X86"
"Stopped","clr_optimization_v4.0.30319_32","Microsoft .NET Framework NGEN v4.0.30319_X86"
"Stopped","COMSysApp","COM+ System Application"
"Running","CryptSvc","Cryptographic Services"
"Running","CscService","Offline Files"
"Running","DcomLaunch","DCOM Server Process Launcher"
"Stopped","defragsvc","Disk Defragmenter"
"Running","Dhcp","DHCP Client"
"Running","Dnscache","DNS Client"
"Stopped","dot3svc","Wired AutoConfig"
"Running","DPS","Diagnostic Policy Service"
"Running","EapHost","Extensible Authentication Protocol"
"Running","EFS","Encrypting File System (EFS)"
"Stopped","ehRecvr","Windows Media Center Receiver Service"
"Stopped","ehSched","Windows Media Center Scheduler Service"
"Running","eventlog","Windows Event Log"
"Running","EventSystem","COM+ Event System"
"Stopped","Fax","Fax"
"Running","fdPHost","Function Discovery Provider Host"
"Running","FDResPub","Function Discovery Resource Publication"
"Running","FontCache","Windows Font Cache Service"
"Stopped","FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0"
"Running","gpsvc","Group Policy Client"
"Stopped","hidserv","Human Interface Device Access"
"Stopped","hkmsvc","Health Key and Certificate Management"
"Running","HomeGroupProvider","HomeGroup Provider"
"Stopped","idsvc","Windows CardSpace"
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules"
"Stopped","IPBusEnum","PnP-X IP Bus Enumerator"
"Running","iphlpsvc","IP Helper"
"Running","KeyIso","CNG Key Isolation"
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator"
"Running","LanmanServer","Server"
"Running","LanmanWorkstation","Workstation"
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper"
